station,latitude,longitude
Reinickendorfer Straße,52.54030277082413,13.369720208627724
Museumsinsel,52.51751873038708,13.400073844881476
Zoologischer Garten,52.506596221713814,13.331843882151501
Schillingstraße,52.52033302862401,13.42188926815384
Spittelmarkt,52.51142660166322,13.402075008625747
Bülowstraße,52.49752121371906,13.363426439315862
Weinmeisterstraße,52.5253820793757,13.40519814117253
Pankow,52.56709555986709,13.412131722451964
Wittenau,52.59707033834145,13.33406925094214
Heinrich-Heine-Straße,52.510977961074474,13.416452602553761
Blissestraße,52.48631617205903,13.320692014695917
Konstanzer Straße,52.49384907443851,13.310099168151908
Hermannplatz,52.4864162062024,13.424261420260073
Hansaplatz,52.518546272060874,13.342106006771488
Platz der Luftbrücke,52.484995839715154,13.385959596987764
Altstadt Spandau,52.53869805768168,13.207187327086476
Oskar-Helene-Heim,52.45031029468338,13.269871554658128
Franz-Neumann-Platz,52.5637090467669,13.364718627684379
Rotes Rathaus,52.518975513916125,13.408368164444308
Viktoria-Luise-Platz,52.49611771706067,13.343174166297436
Kottbusser Tor,52.4991584007678,13.418156541170712
Uhlandstraße,52.50273034696795,13.326250166805641
Onkel Toms Hütte,52.45023657859637,13.254313996985337
Neukölln,52.46941504042792,13.443207454151697
Leopoldplatz,52.546834405134,13.358543124481525
Kaiserdamm,52.510022635592506,13.282008481643944
Rohrdamm,52.5369326946296,13.261732025827797
Cottbusser Platz,52.533862272064816,13.596542041173196
Fehrbelliner Platz,52.490434037500265,13.314523404407053
Berliner Straße,52.48730163638421,13.331061745387059
Schönleinstraße,52.49270049877823,13.42220052767943
Ullsteinstraße,52.452880740161696,13.384336844876941
Blaschkoallee,52.45263775041444,13.449347777422727
Paradestraße,52.47819878294701,13.385936063094395
Siemensdamm,52.53661336862975,13.27263385280946
Johannisthaler Chaussee,52.429347995945186,13.45317696629273
Gleisdreieck,52.49950550343119,13.374153281643219
Schloßstraße,52.46121525736663,13.32495471418631
Hallesches Tor,52.497775003687785,13.391555557863141
Potsdamer Platz,52.5087658920624,13.376894800191115
Kochstraße,52.506466802398826,13.390558825825646
Bernauer Straße,52.53825683842588,13.395977064445619
Stadtmitte,52.5114368016617,13.389737196989612
Turmstraße,52.52594649950937,13.341591658372867
Güntzelstraße,52.49215023958673,13.330854083497416
Leinestraße,52.473453107293984,13.428089395132213
Lindauer Allee,52.575286230808445,13.338709539321346
Alt-Mariendorf,52.439193812371585,13.387965523966193
Holzhauser Straße,52.576420412252105,13.295303337466654
Naturkundemuseum,52.53125646544358,13.382137066299869
Moritzplatz,52.50361021824342,13.410795454661805
Märkisches Museum,52.51237691313592,13.410459268153323
Möckernbrücke,52.499072383437685,13.382757568152403
Rehberge,52.55625195737474,13.341593366301696
Nollendorfplatz,52.49955671715474,13.35356178215094
Zitadelle,52.5375477807998,13.217708585355348
Rathaus Steglitz,52.45550412041323,13.322459922112587
Rosa-Luxemburg-Platz,52.52822587206336,13.410129137463338
Wuhletal,52.512601930730824,13.575169539316931
Magdalenenstraße,52.51247241931333,13.487326910480517
Lichtenberg,52.510141165687365,13.497831858879513
Bundestag,52.519623658525546,13.372370203062095
Wittenbergplatz,52.50183897205635,13.342967810479738
Schlesisches Tor,52.50092890322013,13.441523668152474
Lipschitzallee,52.42469603220484,13.462387081637928
Gesundbrunnen,52.548924880733686,13.388616131900543
Alt-Tegel,52.5895999720795,13.283535827686242
Hohenzollernplatz,52.4937711820529,13.32410364117033
Kienberg,52.52854477206337,13.590672127681946
Jannowitzbrücke,52.514132367671024,13.419610737462332
Dahlem-Dorf,52.457628046496254,13.289978183495048
Podbielskiallee,52.464348235450544,13.296444384718166
Borsigwerke,52.582902487965825,13.289365857112749
Hellersdorf,52.53626554251455,13.605289183500497
Karl-Marx-Straße,52.47607769324291,13.439366352805152
Kleistpark,52.490691308644436,13.360228698842903
Hermannstraße,52.467595827597954,13.431152187205178
Birkenstraße,52.53241709261511,13.341389341173047
Rüdesheimer Platz,52.47293057801948,13.314261422113807
Mehringdamm,52.49457071152675,13.388718908624508
Elsterwerdaer Platz,52.50496371924926,13.560355508625298
Louis-Lewin-Straße,52.53891234243268,13.618374583500726
Boddinstraße,52.48024006396103,13.42532689884215
Amrumer Straße,52.54213019667578,13.349491081646258
Residenzstraße,52.57085591361691,13.360449691429604
Rathaus Spandau,52.53521291142317,13.19968806444545
Jakob-Kaiser-Platz,52.53646251328079,13.2935732123369
Ernst-Reuter-Platz,52.511507601651175,13.32230868535353
Adenauerplatz,52.499842521488354,13.307195941170775
Mierendorffplatz,52.52586414263116,13.305816595135862
Britz-Süd,52.43713072823344,13.448324495129643
Rathaus Neukölln,52.481579406089146,13.4341804797872
Freie Universität (Thielplatz),52.45112727925773,13.282452708621504
Friedrichstraße,52.520251435296714,13.38708745036295
Hauptbahnhof,52.525138568064754,13.369503301504315
Unter den Linden,52.51703592960295,13.389140756517474
Görlitzer Bahnhof,52.4992659734749,13.427824633659526
Eisenacher Straße,52.48952131067362,13.350509781642527
Alt-Tempelhof,52.466216862442685,13.385845661582911
Walther-Schreiber-Platz,52.46537376491014,13.328574415758025
Bismarckstraße,52.51138716883494,13.305169852807664
Kurfürstendamm,52.5035284086611,13.330974107784474
Wutzkyallee,52.42327177091905,13.474499950946726
Karl-Bonhoeffer-Nervenklinik,52.57798080729848,13.329106877939264
Schönhauser Allee,52.5493166118201,13.413706503252802
Friedrich-Wilhelm-Platz,52.471424067779274,13.328629745582507
Eberswalder Straße,52.54172217166843,13.412121323973398
Brandenburger Tor,52.51653597206018,13.381537964444087
Wannsee,52.42103678425056,13.178925934014098
Nikolassee,52.43217191699082,13.192985739311224
Schlachtensee,52.43995182969548,13.21436222447404
Mexikoplatz,52.436999950073854,13.232639410475201
Zehlendorf,52.4310563058904,13.258586325820383
Sundgauer Straße,52.436200608704034,13.273433216039326
Lichterfelde West,52.44337335291379,13.293769496984854
Botanischer Garten,52.44794035494883,13.307186981639623
Feuerbachstraße,52.46360615163729,13.332548261394667
Friedenau,52.46999997204811,13.34061062582306
Julius-Leber-Brücke,52.486179439738294,13.36088396258722
Anhalter Bahnhof,52.504560149568974,13.381747081643608
Oranienburger Straße,52.52550248953035,13.387322995135843
Nordbahnhof,52.53188601270066,13.388340152809105
Humboldthain,52.544342047355954,13.379022889065263
Wollankstraße,52.56575835819367,13.391109770011726
Schönholz,52.57121630637251,13.381439139321012
Wilhelmsruh,52.58143560647957,13.362650318412012
Hermsdorf,52.61813740341262,13.306724895142365
Frohnau,52.63294612596419,13.289492552816183
Borgsdorf,52.71535897507262,13.27650282584036
Lehnitz,52.741366990581525,13.263237081660277
Oranienburg,52.754272273848635,13.248723102570981
Schöneberg,52.47932563697347,13.351902826331553
Bornholmer Straße,52.55459501281615,13.398060943029375
Waidmannslust,52.60655586986519,13.320904048597207
Hohen Neuendorf,52.66982186270806,13.287211460081918
Birkenwerder,52.68794981926655,13.28887928536596
Blankenfelde,52.33694516159353,13.416125868140954
Mahlow,52.36018102818372,13.408230189560095
Lichtenrade,52.387439616062885,13.396402912326465
Schichauweg,52.3985440720295,13.38938771232719
Buckower Chaussee,52.410928715234334,13.382673844873953
